date,air_pressure_DAYMAX,air_temp_DAYMAX,avg_wind_speed_DAYMAX,max_wind_speed_DAYMAX,relative_humidity_DAYMAX,air_pressure_DAYMIN,air_temp_DAYMIN,avg_wind_speed_DAYMIN,max_wind_speed_DAYMIN,rain_accumulation_DAYMIN,rain_duration_DAYMIN,relative_humidity_DAYMIN,air_pressure_9am,air_temp_9am,avg_wind_direction_9am,avg_wind_speed_9am,max_wind_direction_9am,max_wind_speed_9am,rain_accumulation_9am,rain_duration_9am,relative_humidity_9am,air_pressure_3pm,air_temp_3pm,avg_wind_direction_3pm,avg_wind_speed_3pm,max_wind_direction_3pm,max_wind_speed_3pm,relative_humidity_3pm
2011-09-11,918.2,71.6,6.1,7.1,91.2,914.5,51.98,0.1,0.1,341.34,18874.0,40.3,916.6600000000013,56.33599999999998,179.8,1.600000000000002,203.2,1.9099999999999944,0.0,0.0,77.47999999999996,916.5000000000007,70.25000000000003,233.7,2.4900000000000038,252.8,3.229999999999991,49.08999999999992
2011-09-12,920.2,78.62,7.2,8.3,48.1,917.8,65.84,0.1,0.2,341.34,18874.0,15.5,919.3700000000002,74.06599999999983,159.7,2.9400000000000004,188.6,4.399999999999989,0.0,0.0,18.75999999999988,918.7900000000002,76.08199999999971,217.6,3.949999999999998,228.0,4.639999999999988,33.21999999999988
2011-09-13,919.6,77.54,7.7,8.2,63.9,917.5,66.74,0.1,0.2,341.34,18874.0,20.0,919.0800000000011,72.75199999999975,166.0,1.0999999999999965,198.9,1.3999999999999901,0.0,0.0,41.94999999999986,918.070000000001,70.37599999999973,202.3,4.049999999999997,211.9,4.7099999999999875,59.68999999999984
2011-09-14,917.6,73.58,5.8,6.5,67.0,914.2,64.4,0.1,0.2,341.34,18874.0,35.2,916.5000000000009,71.04199999999977,102.3,1.079999999999996,49.1,1.439999999999984,0.0,0.0,49.00999999999982,915.3100000000002,71.85199999999973,307.0,1.319999999999998,223.8,1.9499999999999837,52.969999999999814
2011-09-15,915.7,72.14,6.3,6.8,70.1,913.7,63.32,0.1,0.2,341.34,18874.0,40.6,915.2600000000008,70.7899999999998,281.0,0.9299999999999967,293.1,1.1699999999999826,0.0,0.0,46.17999999999986,914.4000000000005,69.63799999999976,209.1,2.879999999999993,222.3,3.439999999999982,58.5699999999999
2011-09-16,916.4,67.1,6.9,7.3,91.2,914.0,53.06,0.1,0.2,341.34,18874.0,47.5,915.6000000000013,56.28199999999964,178.3,1.4299999999999924,201.7,1.85999999999998,0.0,0.0,89.95000000000007,915.9000000000005,62.977999999999625,201.6,3.879999999999991,216.0,4.6599999999999815,71.89000000000007
2011-09-17,918.3,69.26,5.2,6.0,91.9,915.9,52.34,0.1,0.2,341.34,18874.0,48.4,917.6900000000016,54.823999999999465,201.1,0.9499999999999966,222.8,1.2299999999999818,0.0,0.0,90.67000000000007,917.240000000001,68.03599999999942,205.1,3.640000000000003,220.2,4.3499999999999845,57.140000000000065
2011-09-18,919.9,81.86,4.4,5.0,61.7,918.0,63.86,0.1,0.2,341.34,18874.0,25.4,919.4000000000005,79.17799999999951,150.1,1.0800000000000078,180.7,1.5999999999999859,0.0,0.0,35.400000000000055,918.2700000000007,75.93799999999942,211.9,2.6000000000000085,224.9,3.189999999999986,48.77000000000005
2011-09-19,919.0,84.74,4.8,5.4,49.4,916.7,73.58,0.2,0.4,341.34,18874.0,18.9,918.7000000000014,82.48999999999968,140.2,0.8300000000000083,185.3,1.2899999999999852,0.0,0.0,20.170000000000066,917.2100000000013,77.61199999999963,210.3,3.21000000000001,220.0,3.759999999999984,41.22000000000005
2011-09-20,917.4,82.22,4.4,5.1,45.4,914.9,72.86,0.0,0.1,341.34,18874.0,21.1,917.0000000000007,77.86399999999973,234.7,0.5200000000000122,250.0,0.7199999999999882,0.0,0.0,30.82000000000008,915.600000000001,78.58399999999969,215.4,2.0800000000000116,228.0,2.5299999999999896,42.98000000000008
