time,air_pressure_DAYMAX,air_temp_DAYMAX,avg_wind_direction_DAYMAX,avg_wind_speed_DAYMAX,max_wind_direction_DAYMAX,max_wind_speed_DAYMAX,min_wind_direction_DAYMAX,min_wind_speed_DAYMAX,rain_accumulation_DAYMAX,rain_duration_DAYMAX,relative_humidity_DAYMAX,air_pressure_DAYMIN,air_temp_DAYMIN,avg_wind_direction_DAYMIN,avg_wind_speed_DAYMIN,max_wind_direction_DAYMIN,max_wind_speed_DAYMIN,min_wind_direction_DAYMIN,min_wind_speed_DAYMIN,rain_accumulation_DAYMIN,rain_duration_DAYMIN,relative_humidity_DAYMIN,air_pressure_9am,air_temp_9am,avg_wind_direction_9am,avg_wind_speed_9am,max_wind_direction_9am,max_wind_speed_9am,min_wind_direction_9am,min_wind_speed_9am,rain_accumulation_9am,rain_duration_9am,relative_humidity_9am,air_pressure_3pm,air_temp_3pm,avg_wind_direction_3pm,avg_wind_speed_3pm,max_wind_direction_3pm,max_wind_speed_3pm,min_wind_direction_3pm,min_wind_speed_3pm,rain_accumulation_3pm,rain_duration_3pm,relative_humidity_3pm
2011-09-10,914.9,68.0,359.0,8.9,357.0,9.3,359.0,8.2,341.34,18874.0,90.8,911.1,52.7,2.0,0.1,2.0,0.2,0.0,0.0,341.34,18874.0,29.0,912.560000000001,55.47199999999994,139.0,1.4000000000000006,161.3,1.7900000000000003,153.4,0.9700000000000019,341.34000000000003,18874.0,86.26999999999995,913.0500000000009,61.39399999999996,211.9,5.830000000000002,219.0,6.919999999999995,204.7,4.820000000000005,341.34000000000003,18874.0,69.89999999999995
2011-09-11,918.2,71.6,358.0,6.1,355.0,7.1,359.0,5.4,341.34,18874.0,91.2,914.5,51.98,3.0,0.1,5.0,0.1,0.0,0.0,341.34,18874.0,40.3,916.6600000000013,56.33599999999998,179.8,1.600000000000002,203.2,1.9099999999999944,153.4,1.2400000000000044,341.34000000000003,18874.0,77.47999999999996,916.5000000000007,70.25000000000003,233.7,2.4900000000000038,252.8,3.229999999999991,214.3,1.580000000000005,341.34000000000003,18874.0,49.08999999999992
2011-09-12,920.2,78.62,356.0,7.2,359.0,8.3,359.0,6.3,341.34,18874.0,48.1,917.8,65.84,0.0,0.1,0.0,0.2,0.0,0.0,341.34,18874.0,15.5,919.3700000000002,74.06599999999983,159.7,2.9400000000000004,188.6,4.399999999999989,132.6,1.670000000000007,341.34000000000003,18874.0,18.75999999999988,918.7900000000002,76.08199999999971,217.6,3.949999999999998,228.0,4.639999999999988,204.1,3.230000000000009,341.34000000000003,18874.0,33.21999999999988
2011-09-13,919.6,77.54,359.0,7.7,359.0,8.2,359.0,6.9,341.34,18874.0,63.9,917.5,66.74,0.0,0.1,0.0,0.2,0.0,0.0,341.34,18874.0,20.0,919.0800000000011,72.75199999999975,166.0,1.0999999999999965,198.9,1.3999999999999901,173.3,0.8300000000000102,341.34000000000003,18874.0,41.94999999999986,918.070000000001,70.37599999999973,202.3,4.049999999999997,211.9,4.7099999999999875,192.5,3.3400000000000105,341.34000000000003,18874.0,59.68999999999984
2011-09-14,917.6,73.58,359.0,5.8,359.0,6.5,359.0,5.2,341.34,18874.0,67.0,914.2,64.4,0.0,0.1,0.0,0.2,0.0,0.0,341.34,18874.0,35.2,916.5000000000009,71.04199999999977,102.3,1.079999999999996,49.1,1.439999999999984,119.1,0.760000000000008,341.34000000000003,18874.0,49.00999999999982,915.3100000000002,71.85199999999973,307.0,1.319999999999998,223.8,1.9499999999999837,284.4,0.6400000000000088,341.34000000000003,18874.0,52.969999999999814
2011-09-15,915.7,72.14,358.0,6.3,359.0,6.8,359.0,5.9,341.34,18874.0,70.1,913.7,63.32,1.0,0.1,0.0,0.2,0.0,0.0,341.34,18874.0,40.6,915.2600000000008,70.7899999999998,281.0,0.9299999999999967,293.1,1.1699999999999826,268.3,0.6600000000000089,341.34000000000003,18874.0,46.17999999999986,914.4000000000005,69.63799999999976,209.1,2.879999999999993,222.3,3.439999999999982,198.1,2.220000000000012,341.34000000000003,18874.0,58.5699999999999
2011-09-16,916.4,67.1,351.0,6.9,358.0,7.3,358.0,6.4,341.34,18874.0,91.2,914.0,53.06,1.0,0.1,1.0,0.2,5.0,0.0,341.34,18874.0,47.5,915.6000000000013,56.28199999999964,178.3,1.4299999999999924,201.7,1.85999999999998,161.3,1.0500000000000118,341.34000000000003,18874.0,89.95000000000007,915.9000000000005,62.977999999999625,201.6,3.879999999999991,216.0,4.6599999999999815,188.0,3.1100000000000096,341.34000000000003,18874.0,71.89000000000007
2011-09-17,918.3,69.26,359.0,5.2,357.0,6.0,359.0,4.8,341.34,18874.0,91.9,915.9,52.34,0.0,0.1,0.0,0.2,0.0,0.0,341.34,18874.0,48.4,917.6900000000016,54.823999999999465,201.1,0.9499999999999966,222.8,1.2299999999999818,181.2,0.6100000000000133,341.34000000000003,18874.0,90.67000000000007,917.240000000001,68.03599999999942,205.1,3.640000000000003,220.2,4.3499999999999845,191.5,2.8400000000000136,341.34000000000003,18874.0,57.140000000000065
2011-09-18,919.9,81.86,359.0,4.4,359.0,5.0,359.0,3.9,341.34,18874.0,61.7,918.0,63.86,0.0,0.1,0.0,0.2,0.0,0.0,341.34,18874.0,25.4,919.4000000000005,79.17799999999951,150.1,1.0800000000000078,180.7,1.5999999999999859,111.8,0.5700000000000133,341.34000000000003,18874.0,35.400000000000055,918.2700000000007,75.93799999999942,211.9,2.6000000000000085,224.9,3.189999999999986,198.9,1.9500000000000135,341.34000000000003,18874.0,48.77000000000005
2011-09-19,919.0,84.74,359.0,4.8,358.0,5.4,359.0,4.4,341.34,18874.0,49.4,916.7,73.58,0.0,0.2,0.0,0.4,0.0,0.0,341.34,18874.0,18.9,918.7000000000014,82.48999999999968,140.2,0.8300000000000083,185.3,1.2899999999999852,98.3,0.4500000000000144,341.34000000000003,18874.0,20.170000000000066,917.2100000000013,77.61199999999963,210.3,3.21000000000001,220.0,3.759999999999984,201.0,2.7300000000000146,341.34000000000003,18874.0,41.22000000000005
