2016-06-05T15:33:05, 6801, 6199, 122, 1025, 0, 0.99
2016-06-05T15:33:05, 6802, 6199, 189, 1291, 0, 0.99
2016-06-05T15:33:05, 6803, 6204, 162, 276, 5, 19.99
2016-06-05T15:33:05, 6804, 6202, 128, 287, 3, 4.99
2016-06-05T16:03:05, 6824, 6201, 101, 1669, 2, 2.99
2016-06-05T16:03:05, 6825, 6200, 129, 1384, 1, 1.99
2016-06-05T16:03:05, 6826, 6204, 92, 1821, 5, 19.99
2016-06-05T16:03:05, 6827, 6200, 77, 1308, 1, 1.99
2016-06-05T16:33:05, 6855, 6201, 9, 734, 2, 2.99
2016-06-05T16:33:05, 6856, 6199, 49, 16, 0, 0.99
2016-06-05T16:33:05, 6857, 6201, 84, 1671, 2, 2.99
2016-06-05T17:03:05, 6881, 6199, 54, 739, 0, 0.99
2016-06-05T17:03:05, 6882, 6199, 133, 219, 0, 0.99
2016-06-05T17:03:05, 6883, 6199, 96, 533, 0, 0.99
2016-06-05T17:03:05, 6884, 6199, 161, 1332, 0, 0.99
2016-06-05T17:03:05, 6885, 6204, 94, 802, 5, 19.99
2016-06-05T17:33:05, 6910, 6199, 128, 1224, 0, 0.99
2016-06-05T18:03:05, 6941, 6200, 128, 688, 1, 1.99
2016-06-05T18:03:05, 6942, 6203, 27, 139, 4, 9.99
2016-06-05T18:03:05, 6943, 6204, 107, 1621, 5, 19.99
2016-06-05T18:33:05, 6968, 6201, 55, 1057, 2, 2.99
2016-06-05T18:33:05, 6969, 6201, 148, 1175, 2, 2.99
2016-06-05T18:33:05, 6970, 6201, 174, 930, 2, 2.99
2016-06-05T19:03:05, 6985, 6201, 179, 1722, 2, 2.99
2016-06-05T19:03:05, 6986, 6201, 73, 692, 2, 2.99
2016-06-05T19:33:05, 7005, 6204, 185, 246, 5, 19.99
2016-06-05T19:33:05, 7006, 6201, 77, 1308, 2, 2.99
2016-06-05T19:33:05, 7007, 6200, 34, 1041, 1, 1.99
2016-06-05T19:33:05, 7008, 6201, 114, 124, 2, 2.99
2016-06-05T19:33:05, 7009, 6200, 92, 1582, 1, 1.99
2016-06-05T20:03:05, 7032, 6199, 105, 35, 0, 0.99
2016-06-05T20:03:05, 7033, 6204, 9, 734, 5, 19.99
2016-06-05T20:03:05, 7034, 6202, 9, 317, 3, 4.99
